PDF Name,Job role,skills,Education
19072267.pdf,EXECUTIVE DIRECTOR, Writing Branding Proposal Content Policies Event planning Process Video Payroll Microsoft word Recruitment Indesign Biology Word Administration Solicitation Human resources Customer service Design Marketing Reports Plan Statistics General ledger Internal communications Outreach Updates Teaching Presentations Communication Networking Sales Adobe Health Experimental Fundraising Programming Advertising Gaap Photoshop Procurement Financial statements Spanish Leadership development Excel Public relations Time management Budgeting Engineering Training Presentation Research Media relations Retail Recruiting Database Powerpoint Editing English Program development Project management Regulations Analysis Broadcast Higher education International Program management Admissions Accounting,B.A. US B.A.  English (with an emphasis in writing) and M.A.   :  Leadership M.A.  Leadership
13727873.pdf,MARKET ANALYST PROMOTED TO ASSISTANT DIRECTOR OF BRAND STRATEGY, Segmentation Metrics Event planning Psychology Legal Process French Strategy Word Contracts Human resources Operations Finance Budget Email Marketing Reports Plan Talent acquisition Outreach Consulting Presentations Brand Communication Immigration Acquisition Excel Therapeutic Budgeting Drafting Training Microsoft office Research Vendors Access Recruiting Database Powerpoint Try Project management Analytics Analysis,Bachelor of Arts and Sciences
11902276.pdf,PUBLIC RELATIONS MANAGER, Partnerships Relationship management Policies Process Process improvement Negotiation Repairs Workflow Administration C Customer service Design Marketing Communication Sales Acquisition Prospecting Spanish Reporting Public relations Engineering Training Positioning Research Testing Improvement Retail Technical English Engagement Money Analysis Regulatory Analytical,Master of Business Administration Bachelor of Science   :  Business Administration Management
12567516.pdf,PROGRAM MANAGER, Writing Content Distribution Event planning Video Microsoft word Editorial Employee relations Strategy Word Website Seo Design Email Marketing Reports Outreach Spreadsheets Brand Networking Communication Journalism Excel Graphic design Training Facebook Presentation Research Logistics Media relations Healthcare Technical Database Engagement Analysis Broadcast Market research,Bachelorof Science   :  Public Relations Bachelor of Journalism
16620172.pdf,ACCOUNT REPRESENTATIVE, Partnerships Content Marketing strategy Microsoft office suite Strategy Recruitment C Operations Finance Email Marketing Reports Internal communications Updates Brand Communication Sales Pharmaceutical Public relations Training Research Recruiting Editing Engagement Human resource Analytics Twitter,Master's Degree Bachelor's Degree
13129275.pdf,INTERNAL AUDIT ASSISTANT, Audit Schedules Writing Branding Content Policies Requests Process Microsoft office suite Sharepoint Marketing materials Word Website Scala Travel System Design Reports Marketing Spreadsheets Wordpress Project planning Presentations Communication Invoices Adobe Photoshop Excel Training Facebook P Illustrator Media relations Technical Database Editing Social media Analytical Twitter,Bachelor of Arts Bennett College
11624880.pdf,COMMUNICATIONS COORDINATOR, Writing Content Mobile Editorial Indesign Website Travel Marketing Plan Spreadsheets Communication Adobe Health Fundraising Photoshop Publishing Advertising Public relations Non-profit Facebook Research Illustrator International Twitter,Bachelor of Arts   :  Strategic Communications
10070224.pdf,PUBLIC RELATIONS DIRECTOR, Writing Content Distribution Process Editorial Word Website Newspaper System Design Email Marketing Budget Outreach Communication Fundraising Journalism Advertising Pr Excel Public relations Training Presentation Media relations Access Healthcare Technical Phone calls Powerpoint Editing Broadcast Social media,Master of Arts   :   Mass Communication Bachelor of Arts   :   Mass Communication
14128006.pdf,ABOUT, Partnerships Schedules Writing Branding Content Trade shows Strategy Indesign Conversion Design Marketing Reports Click Outreach Communication Brand Adobe Acquisition Advertising Pr Reporting Public relations Presentation Research Logistics Illustrator Engagement Analytics Market research Analytical,Bachelor of Science   :  Public Relations
14966165.pdf,EXECUTIVE DIRECTOR, Writing Supervising Requests Legal Marketing materials Strategy Recruitment Contracts Newspaper Operations Finance System Budget Marketing Plan Health Affiliate Advertising Public relations Budgeting Training Case management Compliance Program management,Associate of Arts
14611516.pdf,PROPERTY MANAGEMENT ASSISTANT, Writing Content Requests Video Strategy Operations Design Marketing Reports Brand Sales Supervisor Spanish Reporting Forecasts Python Drafting Merchandising Research Improvement English Researching Engagement Analysis Market research,Bronx Community College  Associate of Arts   :  Video Game Design
14278888.pdf,PUBLIC RELATIONS OFFICER, Construction Policies Data analysis Inventory Process Documentation Scheduling Warehouse Workflow Administration Operations System Transactions Marketing Regulatory requirements Health Reporting Law enforcement Training Logistics Quality assurance Compliance English Analysis Acquisitions Regulatory Accounting,Bachelor of Science Bachelor of Science   :  Microbiology
23771896.pdf,PUBLIC RELATIONS OFFICER, Writing Content Distribution Editorial Strategy Budget Design Marketing Reports Updates Communication Brand Sales Pharmaceutical Health Journalism Advertising Pr Reporting Public relations Graphic design Non-profit Pharmacy Research Editing Analysis Broadcast International Market research,Bachelor's   :  Broadcast Journalism
23015611.pdf,VICE PRESIDENT, Branding Content Industry experience Mobile Data analytics Video Ai Website Newspaper Finance Budget Email Marketing Internal communications Account management Startup Outreach Presentations Brand Security Cisco Acquisition Journalism Information security Presentation Logistics Media relations Retail Engagement Analytics Analysis Broadcast Certification Social media,Bachelor of Arts   :  Journalism
25070914.pdf,PUBLIC RELATIONS EXECUTIVE, Magic Writing Tv Legal Video Photography Strategy Word Quality control Business development Operations Budget Marketing Reports Publishing Pr Excel Public relations Presentation Media relations Sports Marketing plans Client relationships Social media International,Bachelor of Science   :  Business | Management
27000192.pdf,"VP, PUBLIC RELATIONS ACCOUNT DIRECTOR", Branding Writing Requests Process Scheduling Strategy Word Website Schedule Marketing Brand Communication Journalism Advertising Rfps Recruit Filing Excel Public relations Research Media relations Retail Correspondence Cms Healthcare Editing Partnership Swift,Master of Arts Master of Arts   :  Villanova University Masters of Arts   :  Strategic Communication Bachelors of Arts
20966771.pdf,ADMINISTRATIVE ASSISTANT, Writing Proposal Content Distribution Event planning Inventory Microsoft word Documentation French Scheduling Editorial Marketing materials Word Indesign Website Microsoft excel Customer service Schedule Design Email Marketing Reports Spreadsheets Updates Presentations Adobe Brand Communication Networking Journalism Advertising Photoshop Time management Pr Spanish Filing Excel Public relations Graphic design Training Presentation Illustrator Research Media relations Correspondence Powerpoint Database Analysis Administrative support Market research,Georgia Perimeter College  Master   :   Public Relations Public Relations Bachelors of Arts Bachelor of Arts   :   Spanish  Philosophy  Media studies Associate of Arts
21386255.pdf,DEVELOPMENT MANAGER, Partnerships Audit Event planning Microsoft word Documentation Word Indesign Contracts Budget Marketing Plan Outreach Adobe Brand Fundraising Advertising Pyramid Excel Public relations Training Fitness Research Logistics Vendors Powerpoint Expenses,Bachelor of Science   :  Public Relations
24559558.pdf,Daiana Rocha, Schedules Branding Writing Supervising Content Policies Distribution Process Video Scheduling Editorial Visual Design Marketing Adobe Audio Brand Affiliate Photoshop Spanish Training Research Media relations Sports Technical Retention Editing English Researching International,+ Years of Experience in Communications J.D. Bachelor of Arts   :  Political Science
20470943.pdf,ADMINISTRATIVE ASSISTANT, Schedules Tax Distribution Requests Inventory Process Travel arrangements Process improvement Key performance indicators Scheduling Payroll Indesign Administration Travel Contracts Customer service Cad Visual Design Marketing Reports Account management Spreadsheets Updates Specifications Presentations Communication Adobe Sales Brand Purchasing Advertising Photoshop Strong analytical skills Pr Filing Reporting Excel Spanish Merchandising Training Presentation Illustrator Testing Licensing Improvement Retail Correspondence Technical Database Payments English Researching Analytics Analysis Sales goals Analytical,Bachelors of Business Administration
21549195.pdf,SENIOR ACCOUNT MANAGER, Content Process Video Strategy Indesign Website Contracts Solicitation Customer service Budget Marketing Reports Updates Communication Brand Sales Health Fundraising Purchasing Advertising Publishing Pr Public relations Budgeting Research Media relations Vendors Recruiting Database Editing Project management Social media International Admissions,Bachelor Degree
